IAB,0050C2F1E,Dell'Orto S.P.A.,"Via Kennedy, 7 Cabiate Como IT 22060 "
MA-L,D0431E,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,204747,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,847BEB,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,989096,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,801844,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,9840BB,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,D481D7,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,00B0D0,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,0019B9,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,001AA0,Dell Inc.,"One Dell Way,  MS RR5-45 Round Rock  US 78682 "
MA-L,002564,Dell Inc.,"One Dell Way, MS RR5-45 Round Rock  US 78682 "
MA-L,A4BADB,Dell Inc.,"One Dell Way, MS RR5-45 Round Rock  US 78682 "
MA-L,001C23,Dell Inc.,"One Dell Way,  MS RR5-45 Round Rock  US 78682 "
MA-L,782BCB,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,14FEB5,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,180373,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,74867A,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,A41F72,Dell Inc.,One Dell way Round Rock   US 78682 
MA-L,00C04F,Dell Inc.,1807 WEST BRAKER LANE-BLDG. AUSTIN TX US 78758-3610 
MA-L,000BDB,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,00123F,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,54BF64,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,CCC5E5,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,4CD98F,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,DCF401,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,6C2B59,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,C8F750,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,D08E79,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,B44506,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,04BF1B,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,98E743,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,185A58,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,E0D848,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,001530,Dell EMC,176 South Street Hopkinton MA US 01748 
MA-L,A83CA5,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,D0460C,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,208810,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,F48E38,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,28F10E,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,90B11C,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,64006A,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,109836,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,C81F66,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,F8DB88,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,001422,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,0015C5,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,7845C4,Dell Inc.,One Dell way Round Rock  US 78682 
MA-L,5C260A,Dell Inc.,"One Dell Way, MS RR5-45 Round Rock   US 78682 "
MA-L,001E4F,Dell Inc.,"One Dell Way, MS RR5-45 Round Rock  US 78682 "
MA-L,0026B9,Dell Inc.,"One Dell Way,  MS RR5-45 Round Rock  US 78682 "
MA-L,D067E5,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,6C3C8C,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,C45AB1,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,2CEA7F,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,F0D4E2,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,CC483A,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,30D042,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,8C04BA,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,E454E8,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,A4BB6D,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,E4434B,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,0016F0,Dell,909 Hermosa Ct Sunnyvale CA US 94085 
MA-L,3C25F8,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,109819,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,848F69,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,549F35,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,A44CC8,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,E4F004,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,20040F,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,8CEC4B,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,D4BED9,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,ECF4BB,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,B8CA3A,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,544810,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,A89969,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,B82A72,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,BC305B,Dell Inc.,"One Dell Way, MS RR5-45 Round Rock  US 78682 "
MA-L,0023AE,Dell Inc.,"One Dell Way, MS RR5-45 Round Rock  US 78682 "
MA-L,001D09,Dell Inc.,"One Dell Way,  MS RR5-45 Round Rock  US 78682 "
MA-L,000D56,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,C025A5,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,E8B5D0,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,089204,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,70B5E8,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,B8CB29,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,34735A,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,F40270,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,3448ED,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,64B94E,Dell Technologies,"Matam Park, Bld 8B, PO Box 15046 3190500 HAIFA ISRAEL  HAIFA  HAIFA  IL 15046  "
MA-L,000097,Dell EMC,176 South Street Hopkinton MA US 01748 
MA-L,8CCF09,Dell EMC,228 South St Hopkinton MA US 01748 
MA-L,842BBC,Modelleisenbahn GmbH,Plainbachstrasse 4 Bergheim  AT 5101 
MA-L,0025BD,Italdata Ingegneria dell'Idea S.p.A.,viale Eroi di Cefalonia 123 Roma  IT 00128 
MA-L,2800AF,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,4CD717,Dell Inc.,One Dell Way Round Rock   US 78682 
MA-L,44A842,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,4C7625,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,001143,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,001372,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,00188B,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,F8CAB8,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,F01FAF,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,18A99B,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,F8BC12,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,E8655F,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,E8B265,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,AC91A1,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,C4CBE1,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,381428,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,F4EE08,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,908D6E,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,EC2A72,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,7486E2,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,00BE43,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,605B30,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,C84BD6,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,B4E10F,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,1866DA,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,18DBF2,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,14B31F,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,107D1A,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,509A4C,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,247152,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,8C47BE,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,601895,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,B04F13,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,405CFD,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,D09466,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,D89EF3,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,106530,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,3C2C30,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,886FD4,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,5CF9DD,Dell Inc.,One Dell way Round Rock  US 78682 
MA-L,004E01,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,000874,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,0024E8,Dell Inc.,"One Dell Way, MS RR5-45 Round Rock  US 78682 "
MA-L,002219,Dell Inc.,"One Dell Way,  MS RR5-45 Round Rock  US 78682 "
MA-L,3417EB,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,B083FE,Dell Inc.,One Dell way Round Rock  US 78682 
MA-L,000144,Dell EMC,228 South St. Hopkinton MA US 01748 
MA-L,08001B,Dell EMC,176 South Street Hopkinton MA US 01748 
MA-L,28C825,"DellKing Industrial Co., Ltd","2F,Building D,Zhongxing Science Park,  No 3,Ganli 2nd Road,Gankeng Community Shenzhen GuangDong CN 518112 "
MA-L,AC1A3D,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,18FB7B,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,1C4024,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,141877,Dell Inc.,One Dell way Round Rock  US 78682 
MA-L,E0DB55,Dell Inc.,One Dell way Round Rock  US 78682 
MA-L,F04DA2,Dell Inc.,"One Dell Way, MS RR5-45 Round Rock   US 78682 "
MA-L,842B2B,Dell Inc.,"One Dell Way, MS RR5-45 Round Rock   US 78682 "
MA-L,246E96,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,34E6D7,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,74E6E2,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,24B6FD,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,000F1F,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,D4AE52,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,F8B156,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,CC96E5,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,00065B,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,B8AC6F,Dell Inc.,"One Dell Way,  MS RR5-45 Round Rock  US 78682 "
MA-L,00219B,Dell Inc.,"One Dell Way,  MS RR5-45 Round Rock  US 78682 "
MA-L,002170,Dell Inc.,"One Dell Way,  MS RR5-45 Round Rock  US 78682 "
MA-L,001EC9,Dell Inc.,"One Dell Way,  MS RR5-45 Round Rock  US 78682 "
MA-L,D8D090,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,1C721D,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,0C29EF,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,78AC44,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,C03EBA,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,747827,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,B07B25,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,B88584,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,E4B97A,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,684F64,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,149ECF,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,484D7E,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,A02919,Dell Inc.,One Dell Way Round Rock  TX US 78682 
MA-L,588A5A,Dell Inc.,One Dell Way Round Rock TX US 78682 
MA-L,001248,Dell EMC,176 South Street Hopkinton MA US 01748 
MA-L,006048,Dell EMC,"171 SOUTH ST., HOPKINTON MA US 01748 "
MA-L,7CC95A,Dell EMC,176 South Street Hopkinton MA US 01748 
MA-S,8C1F64B86,Elektronik & Modellprodukter Gävle AB,gullregnsgatan 11a Gävle  SE 802 82 
MA-S,001BC5023,MAGO di Della Mora Walter,Via S.Vidotto 2/3 Codroipo fr. Biauzzo Udine (UD) IT 33033 
Registry,Assignment,Organization Name,Organization Address
